main,scale,stock,best_epoch,val_loss,test_IC,test_RIC,test_prec_10,test_SR,delta_IC,delta_RIC,delta_prec_10,delta_SR,mare_all4,mare_rank3,stdout_log,stderr_log
hardswish,hardswish,hardswish,15,0.000933,0.0231,0.261,0.524,0.526,-0.019899999999999998,-0.24,-0.021000000000000019,-0.93900000000000006,0.405330088833286,0.32678824131127548,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\01_hardswish_hardswish_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\01_hardswish_hardswish_hardswish.err.log
hardswish,hardswish,relu,15,0.00104,0.0278,0.329,0.514,0.234,-0.015199999999999998,-0.172,-0.031000000000000028,-1.231,0.39848887920853315,0.25122749309715681,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\02_hardswish_hardswish_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\02_hardswish_hardswish_relu.err.log
hardswish,hardswish,gelu,13,0.000983,0.0279,0.324,0.518,0.966,-0.015099999999999995,-0.177,-0.027000000000000024,-0.49900000000000011,0.27365295568649667,0.25133249609166558,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\03_hardswish_hardswish_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\03_hardswish_hardswish_gelu.err.log
hardswish,relu,hardswish,13,0.00105,0.0254,0.296,0.511,0.861,-0.017599999999999998,-0.20500000000000002,-0.03400000000000003,-0.60400000000000009,0.32328899320716376,0.29362309446961993,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\04_hardswish_relu_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\04_hardswish_relu_hardswish.err.log
hardswish,relu,relu,12,0.00106,0.0254,0.305,0.513,0.463,-0.017599999999999998,-0.196,-0.032000000000000028,-1.002,0.38579863278763271,0.28641182892731004,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\05_hardswish_relu_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\05_hardswish_relu_relu.err.log
hardswish,relu,gelu,13,0.000994,0.0264,0.313,0.514,0.792,-0.016599999999999997,-0.188,-0.031000000000000028,-0.673,0.31939060302496886,0.27272558219028836,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\06_hardswish_relu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\06_hardswish_relu_gelu.err.log
hardswish,gelu,hardswish,13,0.00108,0.0272,0.32,0.516,1.54,-0.015799999999999998,-0.181,-0.029000000000000026,0.074999999999999956,0.20828121349958886,0.26064343824973624,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\07_hardswish_gelu_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\07_hardswish_gelu_hardswish.err.log
hardswish,gelu,relu,12,0.0011,0.0297,0.363,0.518,-0.311,-0.013299999999999996,-0.138,-0.027000000000000024,-1.776,0.46164485030031688,0.21143090392715744,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\08_hardswish_gelu_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\08_hardswish_gelu_relu.err.log
hardswish,gelu,gelu,15,0.000963,0.0261,0.31,0.52,0.912,-0.016899999999999995,-0.191,-0.025000000000000022,-0.553,0.29940168578186405,0.27337744679902692,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\09_hardswish_gelu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\09_hardswish_gelu_gelu.err.log
relu,hardswish,hardswish,13,0.00101,0.0281,0.353,0.508,0.826,-0.014899999999999997,-0.14800000000000002,-0.037000000000000033,-0.63900000000000012,0.2864970480508286,0.23660357260019468,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\10_relu_hardswish_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\10_relu_hardswish_hardswish.err.log
relu,hardswish,relu,13,0.00102,0.029,0.344,0.509,-0.327,-0.013999999999999995,-0.15700000000000003,-0.036000000000000032,-1.792,0.48205447145992264,0.23500323157113692,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\11_relu_hardswish_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\11_relu_hardswish_relu.err.log
relu,hardswish,gelu,15,0.000994,0.0261,0.306,0.523,0.894,-0.016899999999999995,-0.195,-0.02200000000000002,-0.57100000000000006,0.30309321933185396,0.27420392839241509,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\12_relu_hardswish_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\12_relu_hardswish_gelu.err.log
relu,relu,hardswish,13,0.00107,0.0271,0.344,0.508,0.731,-0.015899999999999997,-0.15700000000000003,-0.037000000000000033,-0.7340000000000001,0.31301362359883572,0.25034353453678665,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\13_relu_relu_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\13_relu_relu_hardswish.err.log
relu,relu,relu,13,0.00103,0.0249,0.343,0.503,-0.52,-0.018099999999999998,-0.15799999999999997,-0.042000000000000037,-1.985,0.5420781299198556,0.27112123807289062,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\14_relu_relu_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\14_relu_relu_relu.err.log
relu,relu,gelu,13,0.00109,0.0245,0.28,0.508,-0.203,-0.018499999999999996,-0.22099999999999997,-0.037000000000000033,-1.6680000000000001,0.51945169594212426,0.31308007695582446,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\15_relu_relu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\15_relu_relu_gelu.err.log
relu,gelu,hardswish,15,0.000948,0.0224,0.268,0.516,0.154,-0.020599999999999997,-0.23299999999999998,-0.029000000000000026,-1.3110000000000002,0.4730577957426747,0.33245021229853783,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\16_relu_gelu_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\16_relu_gelu_hardswish.err.log
relu,gelu,relu,13,0.00105,0.0252,0.286,0.516,0.238,-0.017799999999999996,-0.21500000000000002,-0.029000000000000026,-1.227,0.43346221905732807,0.29876873803775711,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\17_relu_gelu_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\17_relu_gelu_relu.err.log
relu,gelu,gelu,15,0.00099,0.0213,0.268,0.505,1.03,-0.021699999999999997,-0.23299999999999998,-0.040000000000000036,-0.43500000000000005,0.33501096153200849,0.34770517282766095,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\18_relu_gelu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\18_relu_gelu_gelu.err.log
gelu,hardswish,hardswish,15,0.001,0.0261,0.31,0.517,1.27,-0.016899999999999995,-0.191,-0.028000000000000025,-0.19500000000000006,0.23968568240020643,0.275212309184348,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\19_gelu_hardswish_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\19_gelu_hardswish_hardswish.err.log
gelu,hardswish,relu,15,0.00101,0.0271,0.312,0.519,0.724,-0.015899999999999997,-0.189,-0.026000000000000023,-0.7410000000000001,0.3251303551606049,0.2649064576202832,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\20_gelu_hardswish_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\20_gelu_hardswish_relu.err.log
gelu,hardswish,gelu,13,0.00106,0.0247,0.299,0.506,-0.512,-0.018299999999999997,-0.202,-0.039000000000000035,-1.977,0.56245567393958,0.30011154705027043,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\21_gelu_hardswish_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\21_gelu_hardswish_gelu.err.log
gelu,relu,hardswish,13,0.00102,0.0265,0.297,0.512,0.952,-0.016499999999999997,-0.20400000000000001,-0.033000000000000029,-0.51300000000000012,0.30040691653870832,0.28381900589688985,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\22_gelu_relu_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\22_gelu_relu_hardswish.err.log
gelu,relu,relu,13,0.00103,0.0261,0.305,0.506,0.764,-0.016899999999999995,-0.196,-0.039000000000000035,-0.70100000000000007,0.33357468680677355,0.28526681790391195,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\23_gelu_relu_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\23_gelu_relu_relu.err.log
gelu,relu,gelu,13,0.001,0.0179,0.234,0.518,-0.402,-0.025099999999999997,-0.267,-0.027000000000000024,-1.867,0.61014976918704544,0.38873211545758496,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\24_gelu_relu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\24_gelu_relu_gelu.err.log
gelu,gelu,hardswish,13,0.00104,0.0241,0.303,0.505,-0.576,-0.018899999999999997,-0.198,-0.040000000000000036,-2.041,0.5753282553513861,0.3027129866573659,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\25_gelu_gelu_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\25_gelu_gelu_hardswish.err.log
gelu,gelu,relu,13,0.00104,0.0268,0.313,0.512,-0.0153,-0.016199999999999996,-0.188,-0.033000000000000029,-1.4803000000000002,0.45574695794173448,0.27084804858670397,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\26_gelu_gelu_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\26_gelu_gelu_relu.err.log
gelu,gelu,gelu,13,0.00104,0.0202,0.223,0.507,0.374,-0.022799999999999997,-0.278,-0.038000000000000034,-1.0910000000000002,0.47488936148838412,0.3849491827808717,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\27_gelu_gelu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\27_gelu_gelu_gelu.err.log
